gender,age_range,district,city,level_of_education,level_of_employment,usage_status,usage_rank,purpose,apps,ui_ux,security,open_status
Female,18 - 25,Badulla,Badulla,Bachelor’s Degree or equivalent,Communications,Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts;Top up mobile credits,Combank Digital – Commercial Bank,Very Satisfied,Very Satisfied,Very Satisfied
Male,26 - 35,Kalutara,,Bachelor’s Degree or equivalent,Architecture and engineering,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,BApp – Bank of Ceylon;Frimi - Nations Trust Bank,Satisfied,Neutral,Satisfied
Male,18 - 25,Colombo,,Bachelor’s Degree or equivalent,Architecture and engineering,Yes,1 - 10 times per month,To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,Frimi - Nations Trust Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
Female,18 - 25,Gampaha,Ja Ela,Advanced Level  or equivalent,,No,,,,,,
Male,Above 55,Gampaha,,Bachelor’s Degree or equivalent,Science and technology,No,,,,,,
Female,26 - 35,Badulla,Bandarawela ,Advanced Level  or equivalent,Government,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Top up mobile credits,BApp – Bank of Ceylon;BOC Smart Pay - Bank of Ceylon,Very Satisfied,Very Satisfied,Very Satisfied
Female,Above 55,Gampaha,,Bachelor’s Degree or equivalent,Architecture and engineering,No,,,,,,
Female,18 - 25,Colombo,Malabe,Bachelor’s Degree or equivalent,,No,,,,,,
Female,36 - 55,Colombo,Colombo ,Bachelor’s Degree or equivalent,Health and medicine,Yes,Less than 5 times per week,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;Manage savings accounts,Sampath Bank Mobile App - Sampath Bank;Combank Digital – Commercial Bank,Satisfied,Very Satisfied,Very Satisfied
Female,26 - 35,Gampaha,Yakkala,Bachelor’s Degree or equivalent,Law and public policy,Yes,Less than 5 times per week,To check balance and transaction history,BOC Smart Pay - Bank of Ceylon,Satisfied,Satisfied,Satisfied
Male,26 - 35,Colombo,Colombo 10,Bachelor’s Degree or equivalent,Science and technology,Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;Top up mobile credits,Combank Digital – Commercial Bank,Unsatisfied,Neutral,Neutral
Female,26 - 35,Monaragala,Bibile ,Bachelor’s Degree or equivalent,,No,,,,,,
Male,26 - 35,Kandy,Katugasthota,Advanced Level  or equivalent,"Installation, repair, and maintenance",No,,,,,,
Male,26 - 35,Kandy,Kandy,Advanced Level  or equivalent,Banking,Yes,1-2 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;Loan payments;To check balance and transaction history;To submit online requests to banks;Manage savings accounts;Mange current accounts;Manage fixed deposits;Top up mobile credits;Communicate with bank;Almost All allowed features.,BApp – Bank of Ceylon;Combank Digital – Commercial Bank;Flash - Commercial Bank;Nations Mobile Banking – Nations Trust Bank;Frimi - Nations Trust Bank,Very Satisfied,Very Satisfied,Very Satisfied
Male,26 - 35,Galle,Galle,Bachelor’s Degree or equivalent,"Installation, repair, and maintenance",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history,BApp – Bank of Ceylon,Satisfied,Satisfied,Satisfied
Female,26 - 35,Colombo,Boralesgamuwa ,Bachelor’s Degree or equivalent,Architecture and engineering,Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;Top up mobile credits,Sampath Bank Mobile App - Sampath Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
Female,18 - 25,Badulla,Bandarawela ,Bachelor’s Degree or equivalent,Architecture and engineering,No,,,,,,
Female,26 - 35,Kandy,Kandy,Bachelor’s Degree or equivalent,Education,Yes,Less than 5 times per week,To pay bills / reloads / standing orders,BOC Smart Pay - Bank of Ceylon,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
Male,36 - 55,Colombo,,Bachelor’s Degree or equivalent,"Business, management and administration",Yes,1 - 10 times per month,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts,Combank Digital – Commercial Bank;Amana Bank app,Satisfied,Satisfied,Satisfied
Female,18 - 25,Badulla,diyathalawa,Bachelor’s Degree or equivalent,,Yes,1 - 10 times per month,To pay bills / reloads / standing orders;To check balance and transaction history;Manage savings accounts,Combank Digital – Commercial Bank,Satisfied,Satisfied,Very Satisfied
Female,26 - 35,Matara,Matara,Bachelor’s Degree or equivalent,Architecture and engineering,Yes,1 - 10 times per month,To check balance and transaction history,Combank Digital – Commercial Bank,Satisfied,Neutral,Neutral
Female,18 - 25,Matara,Matra,Bachelor’s Degree or equivalent,Architecture and engineering,Yes,1 - 5 times per day,For online money transfer to family and friends;To pay bills / reloads / standing orders;To check balance and transaction history;To submit online requests to banks;Manage fixed deposits,BApp – Bank of Ceylon;BOC Smart Pay - Bank of Ceylon;People’s Wave – People’s Bank;Sampath Bank Mobile App - Sampath Bank,Very Unsatisfied,Very Unsatisfied,Very Unsatisfied
